region_id,date,avg_conflict_intensity
ibb,2021-02-01,5.5606818
ibb,2021-03-01,4.6821313
ibb,2021-04-01,6.089045
ibb,2021-05-01,2.3025851
ibb,2021-06-01,4.6821313
ibb,2021-07-01,0.0
ibb,2021-08-01,3.1780539
ibb,2021-09-01,1.0986123
ibb,2021-10-01,0.0
ibb,2021-11-01,3.0445225
ibb,2021-12-01,0.0
ibb,2022-01-01,4.4773369
ibb,2022-02-01,2.1972246
ibb,2022-03-01,5.3471074
ibb,2022-04-01,5.768321
ibb,2022-05-01,5.0304379
ibb,2022-06-01,5.0751739
ibb,2022-07-01,4.9126549
ibb,2022-08-01,2.6390574
ibb,2022-09-01,5.3423343
ibb,2022-10-01,5.0434251
ibb,2022-11-01,5.7365723
ibb,2022-12-01,2.6390574
ibb,2023-01-01,5.3375382
ibb,2023-02-01,5.4467373
ibb,2023-03-01,6.0088134
ibb,2023-04-01,4.6443911
ibb,2023-05-01,5.3471074
ibb,2023-06-01,5.7430034
ibb,2023-07-01,4.4308167
ibb,2023-08-01,5.7300997
ibb,2023-09-01,5.8861041
ibb,2023-10-01,6.8997231
ibb,2023-11-01,4.882802
ibb,2023-12-01,6.302619
ibb,2024-01-01,4.4773369
ibb,2024-02-01,5.3471074
ibb,2024-03-01,4.59512
ibb,2024-04-01,4.7095304
ibb,2024-05-01,5.2470241
lahj,2020-07-01,6.1484685
lahj,2020-08-01,4.0253515
lahj,2020-09-01,6.1312265
lahj,2020-10-01,5.0304379
lahj,2020-11-01,3.4011974
lahj,2020-12-01,3.6888795
lahj,2021-01-01,4.1896548
lahj,2021-02-01,3.871201
lahj,2021-03-01,6.4361506
lahj,2021-04-01,6.0684257
lahj,2021-05-01,4.1588831
lahj,2021-06-01,2.6390574
lahj,2021-07-01,4.1896548
lahj,2021-08-01,7.071573299999999
lahj,2021-09-01,3.2958369
lahj,2021-10-01,5.2882671
lahj,2021-11-01,6.5102582
lahj,2021-12-01,4.0073333
lahj,2022-01-01,5.5984221
lahj,2022-02-01,4.7874918
lahj,2022-03-01,5.6835799
lahj,2022-04-01,3.5835190000000003
lahj,2022-05-01,4.6443911
lahj,2022-06-01,4.8675346
lahj,2022-07-01,4.2766662
lahj,2022-08-01,2.4849067
lahj,2022-09-01,3.871201
lahj,2022-10-01,7.009409
lahj,2022-11-01,6.7334018
lahj,2022-12-01,5.3375382
lahj,2023-01-01,6.545349599999999
lahj,2023-02-01,5.1239638
lahj,2023-03-01,5.3375382
lahj,2023-04-01,5.1357985
lahj,2023-05-01,5.9814143
lahj,2023-06-01,6.5820251
lahj,2023-07-01,6.9431224
lahj,2023-08-01,6.7979403000000005
lahj,2023-09-01,5.5606818
lahj,2023-10-01,4.2484951
lahj,2023-11-01,1.6094379
lahj,2023-12-01,5.2781148
lahj,2024-01-01,4.0253515
lahj,2024-02-01,4.7184987
lahj,2024-03-01,5.2729998
lahj,2024-04-01,6.329720999999999
lahj,2024-05-01,5.5606818
marib,2020-07-01,11.008447
marib,2020-08-01,11.367761
marib,2020-09-01,12.021657
marib,2020-10-01,11.191646
marib,2020-11-01,11.303685
marib,2020-12-01,10.461731
marib,2021-01-01,10.547339
marib,2021-02-01,12.381898
marib,2021-03-01,12.558914
marib,2021-04-01,11.982998
marib,2021-05-01,11.085338
marib,2021-06-01,11.192389
marib,2021-07-01,11.072869
marib,2021-08-01,10.906469
marib,2021-09-01,11.415896
marib,2021-10-01,12.239029
marib,2021-11-01,12.325343
marib,2021-12-01,12.090353
marib,2022-01-01,12.182599
marib,2022-02-01,10.751714
marib,2022-03-01,11.026239
marib,2022-04-01,9.4723969
marib,2022-05-01,8.2610102
marib,2022-06-01,8.1662159
marib,2022-07-01,7.3827462
marib,2022-08-01,8.0677757
marib,2022-09-01,7.4354382
marib,2022-10-01,6.363028
marib,2022-11-01,7.009409
marib,2022-12-01,7.4383836
marib,2023-01-01,8.225503
marib,2023-02-01,7.3466554
marib,2023-03-01,9.1373396
marib,2023-04-01,7.3211884
marib,2023-05-01,7.1716566
marib,2023-06-01,6.0306854
marib,2023-07-01,7.555381800000001
marib,2023-08-01,6.8793559
marib,2023-09-01,4.6249728
marib,2023-10-01,6.476972599999999
marib,2023-11-01,7.6553907
marib,2023-12-01,6.0614572
marib,2024-01-01,7.841493099999999
marib,2024-02-01,6.9957662
marib,2024-03-01,6.8243737
marib,2024-04-01,6.2989492
marib,2024-05-01,6.982862899999999
raymah,2020-07-01,0.0
raymah,2020-08-01,0.0
raymah,2020-09-01,0.0
raymah,2020-10-01,2.4849067
raymah,2020-11-01,0.0
raymah,2020-12-01,1.0986123
raymah,2021-01-01,1.7917595000000002
raymah,2021-02-01,2.0794415
raymah,2021-03-01,1.6094379
raymah,2021-04-01,0.0
raymah,2021-05-01,1.0986123
raymah,2021-06-01,0.0
raymah,2021-07-01,1.6094379
raymah,2021-08-01,0.0
raymah,2021-09-01,0.0
raymah,2021-10-01,0.0
raymah,2021-11-01,0.69314718
raymah,2021-12-01,0.0
raymah,2022-01-01,0.0
raymah,2022-02-01,0.0
raymah,2022-03-01,0.69314718
raymah,2022-04-01,3.8918202
raymah,2022-05-01,3.2188758999999996
raymah,2022-06-01,2.8903718
