2024-10-14 17:22:22,680 - DEBUG - Prepared data for ('marib', 'rice (imported)'): 47 records
2024-10-14 17:22:22,681 - DEBUG - Prepared data for ('marib', 'salt'): 47 records
2024-10-14 17:22:22,682 - DEBUG - Prepared data for ('marib', 'sugar'): 47 records
2024-10-14 17:22:22,683 - DEBUG - Prepared data for ('marib', 'tomatoes'): 47 records
2024-10-14 17:22:22,684 - DEBUG - Prepared data for ('marib', 'wheat'): 47 records
2024-10-14 17:22:22,685 - DEBUG - Prepared data for ('marib', 'wheat flour'): 47 records
2024-10-14 17:22:22,687 - DEBUG - Prepared data for ('raymah', 'beans (kidney red)'): 44 records
2024-10-14 17:22:22,688 - DEBUG - Prepared data for ('raymah', 'beans (white)'): 47 records
2024-10-14 17:22:22,688 - DEBUG - Prepared data for ('raymah', 'eggs'): 47 records
2024-10-14 17:22:22,689 - DEBUG - Prepared data for ('raymah', 'exchange rate (unofficial)'): 47 records
2024-10-14 17:22:22,690 - DEBUG - Prepared data for ('raymah', 'fuel (diesel)'): 47 records
